Atom                     Bead #
----                     ------
id	type	  1   	  2   	  3   	  4   	  5   	  6   
0	C3	1.000	0.000	0.000	0.000	0.000	0.000
1	C1	0.000	0.500	0.000	0.000	0.000	0.000
2	C2	0.000	0.500	0.000	0.000	0.000	0.000
3	C3	0.000	0.000	1.000	0.000	0.000	0.000
4	C1	0.000	0.000	0.000	0.500	0.000	0.000
5	C2	0.000	0.000	0.000	0.500	0.000	0.000
6	C3	0.000	0.000	0.000	0.000	1.000	0.000
7	C1	0.000	0.000	0.000	0.000	0.000	0.500
8	C2	0.000	0.000	0.000	0.000	0.000	0.500
9	HM1	0.000	0.000	0.000	0.000	0.000	0.000
10	HM2	0.000	0.000	0.000	0.000	0.000	0.000
11	HM3	0.000	0.000	0.000	0.000	0.000	0.000
12	HC	0.000	0.000	0.000	0.000	0.000	0.000
13	HG1	0.000	0.000	0.000	0.000	0.000	0.000
14	HG2	0.000	0.000	0.000	0.000	0.000	0.000
15	HM1	0.000	0.000	0.000	0.000	0.000	0.000
16	HM2	0.000	0.000	0.000	0.000	0.000	0.000
17	HM3	0.000	0.000	0.000	0.000	0.000	0.000
18	HC	0.000	0.000	0.000	0.000	0.000	0.000
19	HG1	0.000	0.000	0.000	0.000	0.000	0.000
20	HG2	0.000	0.000	0.000	0.000	0.000	0.000
21	HM1	0.000	0.000	0.000	0.000	0.000	0.000
22	HM2	0.000	0.000	0.000	0.000	0.000	0.000
23	HM3	0.000	0.000	0.000	0.000	0.000	0.000
24	HC	0.000	0.000	0.000	0.000	0.000	0.000
25	HG1	0.000	0.000	0.000	0.000	0.000	0.000
26	HG2	0.000	0.000	0.000	0.000	0.000	0.000
